Codigo;Articulo;Costo Inicial;Moneda;Desc. 1%;Desc. 2%;Desc. 3%;Costo Final
WE6423;PINZA SACABOCADO WEMBLEY* WE6423;9069.71;ARS;0.00;0.00;0.00;9069.71
AI0023;PISTOLA APLICADORA SILIC.AIRMAX AT-6040*;25545.71;ARS;0.00;0.00;0.00;25545.71
WE5601;PISTOLA APLICADORA WEMBLEY ;7928.57;ARS;0.00;0.00;0.00;7928.57
AI0021;PISTOLA PINT. AMX ALTA AS-1050*;14.35;USD;0.00;0.00;0.00;14.35
AI0053;PISTOLA PINTAR AMX HVPL AS-1005*;32358.09;ARS;0.00;0.00;0.00;32358.09
10051731.;PROTECT. ANTIMOHO TRANSP 280ML;10193.44;ARS;0.00;0.00;0.00;10193.44
GR0015;PULVERIZADOR GREEN PRO 1.5 LTS*;0.00;ARS;0.00;0.00;0.00;0.00
GR0020;PULVERIZADOR GREEN PRO 2 LTS 50%*;6206.97;ARS;0.00;0.00;0.00;6206.97
AI0025;REMACHADORA NEUMATICA AMX AT-6015*;56200.02;ARS;0.00;0.00;0.00;56200.02
HEAVY000002;RODANA CHAPA 50MM*;1510.17;ARS;0.00;0.00;0.00;1510.17
HEAVY000001;ROLDANA CHAPA 40MM*;1235.37;ARS;0.00;0.00;0.00;1235.37
HEAVY000003;ROLDANA CHAPA 60MM*;2397.10;ARS;0.00;0.00;0.00;2397.10
NIH672;SACAVALVULA P/GOMERO MANGO PLAST.*;783.19;ARS;0.00;0.00;0.00;783.19
10043605;SELLADOR  QUILOSA POLIURETANO PU-50 NEGRO BLANCO GRIS;7883.40;ARS;0.00;0.00;0.00;7883.40
10043496;SELLADOR BAÑOS Y COCINA QUILOSA;6211.17;ARS;0.00;0.00;0.00;6211.17
10051006;SELLADOR JUNTAS Y GRIETAS AC47 BLANCO X300ML;3556.70;ARS;0.00;0.00;0.00;3556.70
10051572;SELLADOR M535 AZUL PISCINA QUILOSA;11068.64;ARS;0.00;0.00;0.00;11068.64
10043791;SELLADOR M535 GRIS  MERAL Y ESPEJO QUILOSA;9874.18;ARS;0.00;0.00;0.00;9874.18
10043797;SELLADOR M535 POLYMER NEGRO X300ML QUILOSA ;9874.18;ARS;0.00;0.00;0.00;9874.18
10051699;SELLADOR M535 POLYMER TRANSP. X100ML QUILOSA;6330.61;ARS;0.00;0.00;0.00;6330.61
10043307;SELLADOR MS INST. TURBO QUILOSA;12064.01;ARS;0.00;0.00;0.00;12064.01
10051570;SELLADOR MS35 POLYMER TRANSP.X280;10193.44;ARS;0.00;0.00;0.00;10193.44
10043239;SELLADOR QUILOSA POLIURETANO PU-50 NEGRO,BLANCO-GRIS SALCH. X600ML;12860.32;ARS;0.00;0.00;0.00;12860.32
AL0105;SOLDADOR A GAS BUTANO ALIGAS*;10928.31;ARS;0.00;0.00;0.00;10928.31
AL0002;SOLDADOR ALIGAS PLOMERO 10KG CURVO S/MA*;10138.78;ARS;0.00;0.00;0.00;10138.78
AL0001;SOLDADOR ALIGAS PLOMERO 3KG CURVO S/MAR*;10138.78;ARS;0.00;0.00;0.00;10138.78
AL0019;SOLDADOR ALIGAS TECHISTA 38MM-10KG CORT*;10777.84;ARS;0.00;0.00;0.00;10777.84
AL0018;SOLDADOR ALIGAS TECHISTA 38MM-3KG CORTO*;10777.84;ARS;0.00;0.00;0.00;10777.84
AL0025;SOLDADOR ALIGAS TECHISTA 50MM S/MANGUER*;9822.81;ARS;0.00;0.00;0.00;9822.81
AL0023;SOLDADOR ALIGAS TECHISTA 50MM-3KG CORTO*;9822.81;ARS;0.00;0.00;0.00;9822.81
AL0030;SOLDADOR ALIGAS TECHISTA 60MM S/MANGUER*;11614.09;ARS;0.00;0.00;0.00;11614.09
AL0022;SOLDADOR ALIGAS TECHISTA C/GAT 38MM-10K*;0.00;ARS;0.00;0.00;0.00;0.00
AL0021;SOLDADOR ALIGAS TECHISTA C/GAT 38MM-3KG*;0.00;ARS;0.00;0.00;0.00;0.00
AL0006;SOLDADOR ALIGAS ZINGUERO 10KG CURVO C/M*;17623.09;ARS;0.00;0.00;0.00;17623.09
AL0005;SOLDADOR ALIGAS ZINGUERO 3KG CURVO C/MA*;17623.09;ARS;0.00;0.00;0.00;17623.09
CI2030;SOLDADOR ELECT.PUNTA LAPIZ 30W CIMURAT*;6485.72;ARS;0.00;0.00;0.00;6485.72
CI2040;SOLDADOR ELECT.PUNTA LAPIZ 40W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI2060;SOLDADOR ELECT.PUNTA LAPIZ 60W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI4160;SOLDADOR ELECT.REP.PUNTA   160W CIMURAT*;8481.32;ARS;0.00;0.00;0.00;8481.32
CI4200;SOLDADOR ELECT.REP.PUNTA   200W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI3100;SOLDADOR ELECT.RESISTENCIA 100W CIMURAT*;4862.30;ARS;0.00;0.00;0.00;4862.30
CI3160;SOLDADOR ELECT.RESISTENCIA 160W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI3200;SOLDADOR ELECT.RESISTENCIA 200W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI1075;SOLDADOR ELECT.TUBULAR  75W CIMURAT*;8315.01;ARS;0.00;0.00;0.00;8315.01
CI1100;SOLDADOR ELECT.TUBULAR 100W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI1160;SOLDADOR ELECT.TUBULAR 160W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
CI1200;SOLDADOR ELECT.TUBULAR 200W CIMURAT*;0.00;ARS;0.00;0.00;0.00;0.00
AI0026;TALADRO 10MM NEUMATICO AIRMAX AT 4031*;39170.07;ARS;0.00;0.00;0.00;39170.07
AI0027;TALADRO 13MM NEUMATICO AIRMAX AT 4041*;45982.05;ARS;0.00;0.00;0.00;45982.05
PY140000012;TARUGO P/PRECINTO 10MM X 100U*;4909.82;ARS;0.00;0.00;0.00;4909.82
PY140000011;TARUGO P/PRECINTO 10MM X U*;49.10;ARS;0.00;0.00;0.00;49.10
PY140000008;TARUGO P/PRECINTO 6MM X 100U*;1301.11;ARS;0.00;0.00;0.00;1301.11
PY140000007;TARUGO P/PRECINTO 6MM X U*;13.03;ARS;0.00;0.00;0.00;13.03
PY140000010;TARUGO P/PRECINTO 8MM X 100U*;2652.89;ARS;0.00;0.00;0.00;2652.89
PY140000009;TARUGO P/PRECINTO 8MM X U*;26.52;ARS;0.00;0.00;0.00;26.52
